,open,high,low,close,volume
2019-10-25,53.96,54.42,53.53,53.71,2736283.0
2019-10-24,53.34,54.04,53.15,53.98,2099600.0
2019-10-23,53.42,53.56,52.98,53.34,2382500.0
2019-10-22,53.8,53.8,52.95,53.3,7296200.0
2019-10-21,54.16,54.36,53.08,53.17,4397000.0
2019-10-18,53.58,54.02,53.22,53.97,3546100.0
2019-10-17,54.23,54.41,53.27,53.49,3866400.0
2019-10-16,52.73,53.7,52.39,53.67,3638700.0
2019-10-15,52.47,52.78,52.27,52.63,3204400.0
2019-10-14,52.17,52.63,52.01,52.29,1947200.0
2019-10-11,52.93,52.99,51.95,51.99,3206300.0
2019-10-10,52.46,52.59,51.76,52.5,5154100.0
2019-10-09,53.25,53.3,52.6,52.65,3327000.0
2019-10-08,52.09,53.53,52.03,52.92,3979800.0
2019-10-07,52.39,52.71,52.12,52.33,4147500.0
2019-10-04,51.51,52.76,51.49,52.54,7354800.0
2019-10-03,51.5,51.68,50.6,51.34,3730800.0
2019-10-02,52.1,52.36,50.85,51.4,5272300.0
2019-10-01,52.61,52.96,51.94,52.04,3214500.0
2019-09-30,52.23,52.94,52.22,52.71,3412800.0
2019-09-27,52.51,52.53,51.92,52.14,2212300.0
2019-09-26,52.93,53.06,51.89,52.41,2071400.0
2019-09-25,52.15,52.77,52.07,52.52,3900800.0
2019-09-24,52.19,52.52,51.75,51.93,4090300.0
2019-09-23,51.5,52.69,51.5,52.2,7215200.0
2019-09-20,50.93,51.74,50.87,51.58,5197700.0
2019-09-19,50.78,51.12,50.44,50.87,4142200.0
2019-09-18,49.66,50.42,49.25,50.36,4714900.0
2019-09-17,49.06,49.92,49.04,49.69,11185500.0
2019-09-16,49.45,49.83,48.94,49.03,5077300.0
2019-09-13,50.23,50.45,49.01,49.49,3623200.0
2019-09-12,49.76,50.62,49.69,49.77,4898400.0
2019-09-11,49.72,50.01,49.39,49.45,5276000.0
2019-09-10,49.37,49.5,48.47,49.43,4099200.0
2019-09-09,50.2,50.32,49.56,49.77,3396400.0
2019-09-06,50.13,50.54,50.04,50.13,2754700.0
2019-09-05,50.83,50.89,49.34,49.96,3909100.0
2019-09-04,49.94,50.79,49.76,50.5,3430400.0
2019-09-03,49.15,49.95,49.15,49.79,2377200.0
2019-08-30,49.57,49.58,49.04,49.47,1576700.0
2019-08-29,49.34,49.64,49.03,49.27,3029000.0
2019-08-28,48.82,49.23,48.46,49.0,2501700.0
2019-08-27,49.67,49.67,48.75,48.93,3338200.0
2019-08-26,49.15,49.63,48.8,49.21,4120900.0
2019-08-23,50.39,50.62,49.02,49.21,6304000.0
2019-08-22,49.76,50.64,49.38,50.34,4655000.0
2019-08-21,49.01,49.62,48.7,49.45,3975900.0
2019-08-20,48.42,49.54,48.18,48.91,4841400.0
2019-08-19,48.0,48.54,47.8,48.17,3283500.0
2019-08-16,47.32,47.88,46.87,47.75,2697900.0
2019-08-15,47.31,47.66,46.87,46.97,3492600.0
2019-08-14,47.28,47.69,46.82,47.36,3880200.0
2019-08-13,47.13,48.2,47.09,47.96,7240200.0
2019-08-12,47.0784,47.19,46.73,46.99,2690000.0
2019-08-09,47.6403,47.84,47.19,47.23,3071800.0
2019-08-08,47.77,48.38,47.665,47.92,4855700.0
2019-08-07,45.86,47.9089,45.56,47.81,6321500.0
2019-08-06,45.99,46.57,45.87,46.26,5287800.0
2019-08-05,46.39,46.99,45.41,45.93,4853400.0
