,open,high,low,close,volume
2019-10-25,63.32,63.46,62.76,62.9,1403647.0
2019-10-24,62.61,63.28,62.61,63.2,1202800.0
2019-10-23,62.61,62.78,62.3,62.74,1688800.0
2019-10-22,62.46,62.78,62.28,62.38,1161400.0
2019-10-21,62.43,62.51,62.12,62.37,1267000.0
2019-10-18,61.88,62.37,61.81,62.29,1603700.0
2019-10-17,61.72,62.21,61.55,62.05,1261700.0
2019-10-16,61.73,62.0,61.43,61.78,3082300.0
2019-10-15,61.9,62.22,61.7,61.86,1606300.0
2019-10-14,62.39,62.59,61.78,61.85,1496000.0
2019-10-11,61.55,63.88,61.38,62.35,2190800.0
2019-10-10,61.4,61.66,61.02,61.51,1604900.0
2019-10-09,61.24,61.92,61.24,61.57,1363200.0
2019-10-08,62.01,62.01,61.16,61.17,2152800.0
2019-10-07,62.16,62.6,61.95,62.16,1352900.0
2019-10-04,61.69,62.35,61.47,62.28,1698700.0
2019-10-03,61.37,61.66,60.88,61.64,2199000.0
2019-10-02,61.62,61.78,61.05,61.29,2025100.0
2019-10-01,61.9,62.03,61.27,61.7,2067200.0
2019-09-30,61.98,62.33,61.8,62.08,2250100.0
2019-09-27,62.36,62.43,61.59,61.98,1730800.0
2019-09-26,62.33,62.53,61.84,62.26,1347700.0
2019-09-25,62.32,62.35,61.89,62.14,2412900.0
2019-09-24,62.03,62.6,61.96,62.15,2312300.0
2019-09-23,61.76,62.22,61.7,61.92,1887100.0
2019-09-20,61.93,62.18,61.6,61.8,3240200.0
2019-09-19,61.59,61.78,61.3,61.72,1317500.0
2019-09-18,61.34,61.83,61.07,61.53,1890200.0
2019-09-17,61.01,61.67,60.87,61.17,2187700.0
2019-09-16,60.82,60.96,60.52,60.8,1245500.0
2019-09-13,61.01,61.34,60.11,60.8,2262200.0
2019-09-12,62.06,62.22,61.38,61.45,2518200.0
2019-09-11,61.08,61.91,60.94,61.91,1923100.0
2019-09-10,60.38,61.15,60.15,61.15,1909700.0
2019-09-09,60.28,60.78,60.0,60.38,1877200.0
2019-09-06,60.61,60.81,60.26,60.42,1678200.0
2019-09-05,61.05,61.35,60.72,60.87,2284200.0
2019-09-04,61.55,61.59,61.02,61.39,2709200.0
2019-09-03,60.63,61.2,60.39,61.18,2170900.0
2019-08-30,60.37,60.87,60.04,60.47,1765000.0
2019-08-29,59.87,60.08,59.47,60.08,2136900.0
2019-08-28,59.48,59.88,59.16,59.51,1834900.0
2019-08-27,59.6,60.12,59.37,59.46,2219200.0
2019-08-26,58.57,59.33,58.49,59.31,1260600.0
2019-08-23,59.39,59.65,58.17,58.44,2631800.0
2019-08-22,58.9,59.3,58.65,59.17,1783300.0
2019-08-21,58.37,58.96,58.26,58.87,1323600.0
2019-08-20,58.63,58.63,58.29,58.45,1640900.0
2019-08-19,58.25,58.71,57.98,58.55,1673900.0
2019-08-16,57.98,58.33,57.22,58.1,1843300.0
2019-08-15,57.33,58.04,57.22,57.76,1928800.0
2019-08-14,57.66,58.11,57.171,57.31,2691700.0
2019-08-13,57.24,57.86,57.01,57.63,1747700.0
2019-08-12,57.56,57.69,56.98,57.23,1943400.0
2019-08-09,57.95,58.12,57.38,57.72,2405400.0
2019-08-08,57.16,58.0699,56.95,57.83,2420800.0
