,open,high,low,close,volume
2019-10-25,35.55,36.0,35.4001,35.84,12753438.0
2019-10-24,35.77,36.65,35.19,35.62,19482100.0
2019-10-23,38.67,39.33,38.36,39.2,6817800.0
2019-10-22,39.23,39.36,38.88,38.94,5295700.0
2019-10-21,38.96,39.3,38.92,39.26,4786900.0
2019-10-18,39.21,39.35,38.74,38.82,6274300.0
2019-10-17,39.16,39.38,38.99,39.09,5684500.0
2019-10-16,38.64,39.19,38.59,38.92,5314800.0
2019-10-15,38.37,39.04,38.35,38.88,4792100.0
2019-10-14,38.54,38.63,38.34,38.36,6894700.0
2019-10-11,38.43,38.99,38.43,38.55,5047000.0
2019-10-10,37.77,38.26,37.76,37.93,4984400.0
2019-10-09,37.62,38.0,37.52,37.85,6792800.0
2019-10-08,37.47,37.73,37.23,37.32,7128600.0
2019-10-07,38.04,38.19,37.76,37.82,6060400.0
2019-10-04,38.09,38.38,37.96,38.31,4602400.0
2019-10-03,38.05,38.05,37.45,37.95,7178300.0
2019-10-02,38.35,38.57,37.99,38.17,6159400.0
2019-10-01,38.99,39.47,38.47,38.54,5645100.0
2019-09-30,38.57,39.05,38.41,38.98,6149200.0
2019-09-27,38.71,38.89,38.1,38.37,10636800.0
2019-09-26,39.09,39.48,38.85,38.92,7360700.0
2019-09-25,38.92,39.5,38.35,39.24,12200900.0
2019-09-24,40.38,40.67,39.46,39.56,7437500.0
2019-09-23,40.37,40.48,40.02,40.24,3871200.0
2019-09-20,40.55,40.87,40.14,40.36,12088600.0
2019-09-19,40.4,40.8,40.33,40.4,4005200.0
2019-09-18,40.53,40.62,39.78,40.36,4307900.0
2019-09-17,40.18,40.66,39.83,40.53,6358800.0
2019-09-16,39.75,40.39,39.67,40.3,5754400.0
2019-09-13,40.41,40.8,40.21,40.37,5438100.0
2019-09-12,40.16,40.54,39.95,40.29,4927000.0
2019-09-11,40.18,40.26,39.67,39.9,6195900.0
2019-09-10,41.05,41.19,40.03,40.27,6707600.0
2019-09-09,40.53,41.41,40.4,41.4,9028900.0
2019-09-06,40.94,41.08,40.34,40.37,5724000.0
2019-09-05,40.02,40.86,39.94,40.8,7084000.0
2019-09-04,39.67,39.88,39.03,39.64,7488700.0
2019-09-03,40.05,40.38,39.6,39.74,5513600.0
2019-08-30,40.73,40.74,40.18,40.29,4472700.0
2019-08-29,40.51,40.81,40.28,40.53,7188200.0
2019-08-28,38.87,40.26,38.78,40.09,10721200.0
2019-08-27,39.51,39.76,38.71,39.0,9124900.0
2019-08-26,39.14,39.42,38.9,39.4,6570200.0
2019-08-23,39.78,39.79,38.55,38.7,7527000.0
2019-08-22,40.56,40.57,39.8,40.0,4950300.0
2019-08-21,40.47,40.53,40.23,40.38,5554900.0
