,open,high,low,close,volume
2019-10-25,144.98,147.155,144.32,145.54,955942.0
2019-10-24,143.0,146.1,142.52,145.37,1302600.0
2019-10-23,139.57,142.8,138.62,141.93,1646300.0
2019-10-22,142.02,142.58,139.71,140.07,1297600.0
2019-10-21,140.9,142.37,139.2,141.49,1800300.0
2019-10-18,144.02,144.49,138.9,139.67,2959700.0
2019-10-17,146.02,146.82,144.03,144.27,1440500.0
2019-10-16,147.85,148.17,143.26,145.38,2887400.0
2019-10-15,150.56,151.26,149.37,150.0,1221700.0
2019-10-14,149.71,150.43,148.58,150.27,795000.0
2019-10-11,147.16,152.26,146.7,150.32,1856800.0
2019-10-10,147.95,149.09,144.5,144.73,1456800.0
2019-10-09,147.32,148.7,146.29,148.37,854700.0
2019-10-08,146.17,148.0,145.31,145.65,1727600.0
2019-10-07,145.98,148.51,145.98,147.56,1019100.0
2019-10-04,145.88,147.39,144.25,146.89,1200400.0
2019-10-03,142.37,145.08,140.26,144.77,1402300.0
2019-10-02,143.99,144.12,141.68,142.84,1620000.0
2019-10-01,148.5,149.49,144.99,145.71,1586000.0
2019-09-30,145.74,147.97,144.7,147.7,1182500.0
2019-09-27,149.37,149.99,143.7,145.19,1781300.0
2019-09-26,146.86,149.89,145.72,149.07,1058900.0
2019-09-25,148.85,149.14,144.92,147.43,2022900.0
2019-09-24,152.94,153.63,148.17,149.13,1975600.0
2019-09-23,152.46,153.53,151.7,152.37,1042700.0
2019-09-20,153.14,154.26,151.43,153.34,1925700.0
2019-09-19,151.39,154.19,151.39,153.38,1345100.0
2019-09-18,152.13,152.34,148.25,151.11,2046100.0
2019-09-17,152.25,153.86,152.0,153.67,1318400.0
2019-09-16,152.47,155.01,152.46,153.87,1505100.0
2019-09-13,155.53,156.14,152.87,153.48,1994200.0
2019-09-12,155.67,159.88,155.05,155.69,3478900.0
2019-09-11,149.27,154.91,147.55,154.67,3307200.0
2019-09-10,149.98,151.37,146.06,148.05,2077200.0
2019-09-09,151.02,151.65,147.57,151.02,2900600.0
2019-09-06,148.83,152.71,148.1,150.35,2092900.0
2019-09-05,146.28,149.11,145.62,148.22,2956800.0
2019-09-04,142.56,145.59,141.86,144.34,1879700.0
2019-09-03,141.0,143.0,139.87,141.15,2335600.0
2019-08-30,143.79,144.13,141.11,142.82,2991400.0
2019-08-29,142.02,142.98,140.16,142.63,3284400.0
2019-08-28,131.43,141.36,129.7,140.08,18498400.0
2019-08-27,149.45,151.4,148.69,150.21,4223900.0
2019-08-26,145.82,147.86,145.66,147.8,2027100.0
2019-08-23,144.4,147.11,143.24,143.99,2552500.0
2019-08-22,145.9,146.43,143.17,145.21,2616000.0
2019-08-21,147.75,148.1,145.01,145.95,1967100.0
2019-08-20,145.72,147.42,144.53,146.56,1078300.0
2019-08-19,146.75,146.8,145.46,146.18,1900500.0
2019-08-16,144.71,145.32,143.54,144.13,1951800.0
2019-08-15,144.99,144.99,141.46,142.92,3180500.0
2019-08-14,148.52,148.6633,143.61,146.92,2198600.0
2019-08-13,148.59,154.52,148.14,151.81,1795400.0
2019-08-12,149.53,150.36,147.845,148.87,2587100.0
2019-08-09,151.04,152.665,149.46,151.34,1888200.0
2019-08-08,146.48,152.22,146.19,152.09,3198600.0
2019-08-07,141.88,144.955,140.64,144.17,1790600.0
2019-08-06,145.2601,146.67,142.06,143.67,2234200.0
2019-08-05,143.58,144.05,141.06,143.57,3382200.0
2019-08-02,153.23,154.27,146.1,147.76,3830700.0
2019-08-01,156.12,158.83,153.03,153.47,2680300.0
2019-07-31,160.28,160.6,154.29,156.17,1676100.0
2019-07-30,162.08,162.85,160.01,160.29,1036500.0
2019-07-29,168.31,168.62,160.7,162.77,1930100.0
2019-07-26,170.23,171.51,167.77,167.99,1159200.0
2019-07-25,171.91,172.76,167.15,169.92,1591000.0
2019-07-24,169.02,173.95,167.93,173.51,1086400.0
2019-07-23,171.45,171.4645,167.97,169.74,952300.0
2019-07-22,170.31,172.27,170.0775,170.36,1072300.0
2019-07-19,173.3064,174.35,169.21,169.31,1155900.0
2019-07-18,170.6818,173.63,170.57,172.38,904300.0
2019-07-17,170.65,172.02,169.77,171.62,1102600.0
2019-07-16,174.02,174.66,170.67,171.01,1076000.0
2019-07-15,174.9,174.9,172.7,173.71,812500.0
2019-07-12,174.46,174.4546,170.93,174.19,1224400.0
2019-07-11,173.11,174.8,171.5,173.33,1111200.0
2019-07-10,172.51,175.28,172.0,172.74,1419100.0
2019-07-09,168.77,171.43,168.26,171.35,1257400.0
2019-07-08,170.75,171.39,168.77,169.87,1766300.0
2019-07-05,170.39,172.34,169.44,172.23,1233400.0
2019-07-03,170.36,172.18,168.841,172.0,852800.0
2019-07-02,169.11,170.32,168.4,170.1,862200.0
2019-07-01,166.99,170.06,165.52,169.29,2262200.0
2019-06-28,166.12,166.36,162.87,162.9,4849700.0
2019-06-27,163.15,166.07,162.775,165.25,1624000.0
2019-06-26,164.17,165.805,162.32,162.48,1157300.0
2019-06-25,169.28,169.37,162.84,163.16,2368300.0
2019-06-24,171.37,171.83,168.29,168.5,2507700.0
2019-06-21,169.33,171.68,169.0,170.89,3079900.0
2019-06-20,169.03,171.11,167.89,169.45,2739900.0
2019-06-19,163.01,166.79,162.35,165.63,2892600.0
2019-06-18,159.87,163.38,159.27,161.9,1427800.0
2019-06-17,158.39,158.81,157.09,157.38,1423300.0
2019-06-14,161.8522,163.0,156.22,158.16,1573800.0
2019-06-13,164.5256,164.88,161.77,162.32,1121400.0
2019-06-12,163.46,163.81,161.72,163.77,901800.0
2019-06-11,166.94,167.93,162.03,163.2,1363600.0
2019-06-10,166.38,168.1451,164.99,165.12,1504300.0
2019-06-07,162.04,166.0,161.67,165.3,1388900.0
2019-06-06,161.09,161.48,158.37,161.16,1236500.0
