,open,high,low,close,volume
2019-10-25,527.27,529.96,522.73,523.45,159431.0
2019-10-24,515.44,528.9,513.3,527.79,197400.0
2019-10-23,508.21,516.27,508.21,514.87,149000.0
2019-10-22,521.0,524.85,508.33,510.93,348400.0
2019-10-21,525.6,529.06,521.12,521.93,313400.0
2019-10-18,527.88,527.88,519.51,526.57,335400.0
2019-10-17,518.84,528.41,518.84,526.55,222200.0
2019-10-16,521.71,522.71,517.39,518.84,197900.0
2019-10-15,520.99,525.13,519.01,523.0,209100.0
2019-10-14,524.38,525.64,518.19,518.7,224400.0
2019-10-11,518.66,527.53,515.0,524.78,330500.0
2019-10-10,507.47,514.28,506.1,511.0,176400.0
2019-10-09,511.61,513.47,506.0,509.15,215000.0
2019-10-08,510.51,514.53,501.23,508.66,200100.0
2019-10-07,510.31,521.72,510.06,514.42,194900.0
2019-10-04,509.28,514.0,506.0,513.61,212500.0
2019-10-03,499.37,507.31,497.33,507.23,195900.0
2019-10-02,501.84,504.22,497.46,499.76,341600.0
2019-10-01,521.62,522.99,506.03,506.47,255900.0
2019-09-30,518.98,523.42,516.73,520.67,220300.0
2019-09-27,534.81,537.14,515.41,518.19,324300.0
2019-09-26,529.5,533.94,528.37,530.66,165600.0
2019-09-25,524.87,528.82,521.85,528.06,245600.0
2019-09-24,537.04,537.04,524.09,526.38,368400.0
2019-09-23,524.85,534.6,524.5,529.44,292200.0
2019-09-20,532.94,533.73,522.9,527.26,432400.0
2019-09-19,529.91,533.88,527.3,531.28,247800.0
2019-09-18,525.8,531.48,523.93,530.38,332200.0
2019-09-17,523.24,526.84,520.24,525.59,341300.0
2019-09-16,517.83,525.47,516.23,523.54,319400.0
2019-09-13,516.03,523.58,513.02,519.82,266100.0
2019-09-12,503.71,515.73,503.71,514.76,474700.0
2019-09-11,503.44,509.28,499.21,501.1,433200.0
2019-09-10,511.48,512.02,493.01,504.92,480700.0
2019-09-09,534.22,539.39,510.94,513.58,457300.0
2019-09-06,532.93,537.33,531.01,533.91,344100.0
2019-09-05,540.0,542.1,531.64,532.97,289600.0
2019-09-04,539.77,540.47,536.24,536.58,301300.0
2019-09-03,539.0,539.87,532.0,534.78,439500.0
2019-08-30,529.74,539.47,524.17,538.32,440800.0
2019-08-29,525.0,529.0,522.46,528.79,391100.0
2019-08-28,512.58,522.16,506.28,521.2,376800.0
2019-08-27,514.89,514.89,500.06,512.51,799400.0
2019-08-26,525.82,527.0,516.4,521.75,334400.0
2019-08-23,533.52,540.47,518.94,521.53,432700.0
