,open,high,low,close,volume
2019-10-25,74.38,75.35,74.38,75.25,479318.0
2019-10-24,75.0,75.04,74.14,74.41,459400.0
2019-10-23,75.11,75.56,74.01,74.97,742200.0
2019-10-22,74.35,75.02,73.8,74.98,655800.0
2019-10-21,74.41,74.74,74.15,74.29,540500.0
2019-10-18,74.25,74.53,73.81,73.94,1001000.0
2019-10-17,74.84,74.95,74.25,74.39,515300.0
2019-10-16,74.82,75.34,74.28,74.42,642700.0
2019-10-15,74.19,75.6,74.16,75.09,1108300.0
2019-10-14,73.94,74.29,73.5,74.03,715800.0
2019-10-11,73.23,75.2,73.18,74.37,1273700.0
2019-10-10,70.85,72.19,70.51,72.11,1497300.0
2019-10-09,69.51,70.92,69.3,70.66,1222200.0
2019-10-08,70.18,70.25,68.9,68.98,847400.0
2019-10-07,71.34,71.37,70.51,70.84,679500.0
2019-10-04,71.15,72.06,70.8,71.47,632900.0
2019-10-03,70.82,71.33,69.46,71.04,676300.0
2019-10-02,71.95,72.23,70.73,70.96,953700.0
2019-10-01,74.75,75.7,73.12,73.17,1082600.0
2019-09-30,73.32,74.4,73.15,74.29,1120900.0
2019-09-27,73.32,74.05,72.97,73.29,737100.0
2019-09-26,72.93,73.01,72.11,72.86,565900.0
2019-09-25,71.96,73.11,71.64,72.87,645200.0
2019-09-24,72.94,73.32,71.6,71.75,823600.0
2019-09-23,73.46,73.46,72.24,72.58,893700.0
2019-09-20,74.9,75.07,73.5,73.98,1152500.0
2019-09-19,75.07,75.38,74.22,74.59,450500.0
2019-09-18,74.46,75.35,73.77,75.29,727600.0
2019-09-17,75.46,75.51,74.42,75.37,550500.0
2019-09-16,75.72,75.99,75.21,75.39,638300.0
2019-09-13,75.28,76.8,75.28,76.22,1093600.0
2019-09-12,75.65,76.05,75.06,75.21,788200.0
2019-09-11,75.27,75.87,74.84,75.85,946700.0
2019-09-10,74.0,75.55,73.55,75.51,965700.0
2019-09-09,73.35,74.01,73.17,73.96,523700.0
2019-09-06,72.86,73.45,72.6,73.25,809600.0
2019-09-05,71.41,72.92,71.41,72.57,775400.0
2019-09-04,70.84,71.29,70.64,71.18,735300.0
2019-09-03,70.6,70.99,69.83,70.21,703600.0
2019-08-30,71.84,72.09,70.77,71.1,892500.0
2019-08-29,71.39,72.27,71.05,71.52,484700.0
2019-08-28,69.89,71.05,69.43,70.65,674400.0
2019-08-27,69.92,70.16,69.38,69.88,1190300.0
2019-08-26,68.87,69.72,68.39,69.45,937300.0
2019-08-23,69.67,70.2,67.97,68.32,1424700.0
2019-08-22,70.96,70.96,69.87,70.24,597900.0
2019-08-21,71.11,71.25,70.44,70.62,677500.0
2019-08-20,71.77,71.77,70.39,70.45,685100.0
